月份,固定资产投资完成额_累计值,固定资产投资完成额_累计增长,建筑安装工程固定资产投资完成额_累计值,建筑安装工程固定资产投资完成额_累计增长,设备工器具购置固定资产投资完成额_累计值,设备工器具购置固定资产投资完成额_累计增长,其他费用固定资产投资完成额_累计值,其他费用固定资产投资完成额_累计增长,地区
200801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,北京市
200802,293.2882,20.6,154.557,21.3,22.6358,-23.0,116.0954,34.4,北京市
200803,534.7199,23.8,265.0966,14.2,52.7732,27.5,216.8501,37.0,北京市
200804,830.3135,22.0,423.3936,12.4,86.1073,25.8,320.8126,36.3,北京市
200805,1126.8958,19.0,574.9383,7.6,133.3432,40.5,418.6143,31.6,北京市
200806,1474.9683,16.4,762.0665,12.9,187.6008,33.9,525.301,16.4,北京市
200807,1768.4435,10.1,896.0313,7.0,226.3895,18.2,646.0227,11.9,北京市
200808,1901.072,-0.6,956.2484,-4.2,247.396,10.7,697.4276,1.0,北京市
200809,2090.8172,-7.2,1027.7016,-13.0,272.0624,-5.0,791.0532,0.6,北京市
200810,2417.7413,-6.3,1143.9328,-14.5,335.9489,8.0,937.8596,0.9,北京市
200811,2784.3174,-5.2,1312.3133,-13.5,391.1199,6.8,1080.8842,2.6,北京市
200812,3520.947,-2.1,1571.0605,-15.1,540.731,29.0,1409.1555,6.1,北京市
200901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,北京市
200902,232.89,-20.6,112.46,-27.2,16.51,-27.1,103.93,-10.5,北京市
200903,468.5576,-12.4,197.5345,-25.5,44.3517,-16.0,226.6714,4.5,北京市
200904,736.8997,-11.3,317.1248,-25.1,64.7162,-24.8,355.0587,10.7,北京市
200905,1153.3854,2.4,463.303,-19.4,96.9546,-27.3,593.1278,41.7,北京市
200906,1693.751,14.8,644.19,-15.5,148.1364,-21.0,901.4246,71.6,北京市
200907,2168.3089,22.6,803.0006,-10.4,189.9123,-16.1,1175.396,81.9,北京市
200908,2641.957,39.0,965.4633,1.0,217.2061,-12.2,1459.2876,109.2,北京市
200909,3120.4084,49.2,1137.4863,10.7,254.5796,-6.4,1728.3425,118.5,北京市
200910,3460.3247,43.1,1277.824,11.7,281.4046,-16.2,1901.0961,102.7,北京市
200911,3250.0232,16.7,1417.5279,8.0,302.3049,-22.7,1530.1904,41.6,北京市
200912,4149.6286,17.9,1647.7639,4.9,373.9624,-30.8,2127.9023,51.0,北京市
201001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201002,334.6725,43.7,153.0453,36.1,22.7701,37.9,158.8571,52.9,北京市
201003,663.9728,41.7,247.1182,25.1,71.9584,62.2,344.8962,52.2,北京市
201004,1018.0292,38.2,343.7715,8.4,104.8349,62.0,569.4228,60.4,北京市
201005,1470.1248,27.5,469.9981,1.4,128.9,32.9,871.2267,46.9,北京市
201006,1949.9491,15.1,631.7538,-1.9,172.6834,16.6,1145.5119,27.1,北京市
201007,2309.9948,6.5,780.1003,-2.9,215.2825,13.4,1314.612,11.8,北京市
201008,2812.5382,6.5,949.0324,-1.7,292.2652,34.6,1571.2406,7.7,北京市
201009,3320.4544,6.4,1122.1476,-1.3,334.8678,31.5,1863.439,7.8,北京市
201010,3717.961,7.4,1239.7869,-3.0,384.5847,36.7,2093.5894,10.1,北京市
201011,3875.3359,13.1,1404.3976,-0.9,343.9557,13.8,2126.9826,39.0,北京市
201012,4916.5257,14.3,1782.593,8.2,598.8284,60.1,2535.1043,19.1,北京市
201101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201102,379.8757,13.4,179.1588,14.8,56.9935,145.5,143.7234,-7.6,北京市
201103,762.2817,11.9,317.4212,17.1,109.7777,50.2,335.0828,-0.6,北京市
201104,1162.2985,9.6,496.7059,30.3,161.836,50.8,503.7566,-11.9,北京市
201105,1656.737,7.9,699.6627,31.5,203.7576,53.5,753.3167,-13.4,北京市
201106,2201.2019,7.3,935.5682,28.8,247.593,38.2,1018.0407,-11.2,北京市
201107,2703.4611,11.1,1152.8294,28.5,281.9837,26.5,1268.648,-3.4,北京市
201108,3253.0461,12.3,1401.0821,30.4,321.9634,17.8,1530.0006,-1.3,北京市
201109,3814.7666,8.1,1671.8854,27.2,390.922,13.6,1751.9592,-6.3,北京市
201110,4312.8098,7.0,1923.1963,28.8,439.1844,6.6,1950.4291,-8.2,北京市
201111,4938.0828,5.3,2232.6587,24.5,494.7176,1.8,2210.7065,-8.3,北京市
201112,5519.8625,5.7,2551.1622,23.2,596.5463,5.4,2372.154,-8.2,北京市
201201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201202,385.935,1.6,203.2521,13.4,48.727,-14.5,133.9559,-6.8,北京市
201203,800.8157,5.1,369.4901,16.4,97.7743,-10.9,333.5513,-0.5,北京市
201204,1213.8168,4.4,583.083,17.4,130.3311,-19.5,500.4027,-0.7,北京市
201205,1731.2611,4.5,875.98,25.2,162.3098,-20.3,692.9713,-8.0,北京市
201206,2335.8259,6.1,1111.7517,18.8,265.4802,7.2,958.594,-5.8,北京市
201207,2866.869,6.0,1347.1396,16.9,330.9235,17.4,1188.8059,-6.3,北京市
201208,3441.0485,5.8,1635.2832,16.7,400.273,24.3,1405.4923,-8.1,北京市
201209,4043.6587,6.0,1917.1096,14.7,475.7525,21.7,1650.7966,-5.8,北京市
201210,4628.8802,7.3,2199.9263,14.4,535.5105,21.9,1893.4434,-2.9,北京市
201211,5247.3427,6.3,2525.0189,13.1,614.2267,24.2,2108.0971,-4.6,北京市
201212,6064.1467,9.9,2938.4845,15.2,758.3637,27.1,2367.2985,-0.2,北京市
201301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201302,436.1261,13.0,248.1308,22.1,43.9776,-9.7,144.0177,7.5,北京市
201303,906.0457,13.1,432.4362,17.0,123.2094,26.0,350.4001,5.1,北京市
201304,1358.9086,12.0,686.7471,17.8,175.8695,34.9,496.292,-0.8,北京市
201305,1865.4867,7.8,958.0648,9.4,220.4618,35.8,686.9601,-0.9,北京市
201306,2517.3964,7.8,1224.1204,10.1,288.9067,8.8,1004.3693,4.8,北京市
201307,3085.746,7.6,1568.7711,16.5,327.6329,-1.0,1189.342,0.0,北京市
201308,3725.5149,8.3,1900.079,16.2,384.4911,-3.9,1440.9448,2.5,北京市
201309,4410.5986,9.1,2265.2724,18.2,458.8109,-3.6,1686.5153,2.2,北京市
201310,4970.3006,7.4,2603.7124,18.4,512.5921,-4.3,1853.9961,-2.1,北京市
201311,5737.1146,9.3,2973.0121,17.7,594.4518,-3.2,2169.6507,2.9,北京市
201312,6797.5373,8.9,3417.8903,7.9,702.8166,-7.8,2676.8304,11.4,北京市
201401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201402,468.8219,7.5,284.0658,14.5,40.0638,-8.9,144.6923,0.5,北京市
201403,929.8046,2.6,483.7572,11.9,73.2936,-40.5,372.7538,6.4,北京市
201404,1452.3066,6.9,771.7236,12.4,108.7912,-38.1,571.7918,15.2,北京市
201405,2008.4145,7.7,1085.0398,13.3,189.5491,-14.0,733.8256,6.8,北京市
201406,2747.3247,9.1,1415.4627,15.6,239.8966,-17.0,1091.9654,8.7,北京市
201407,3338.2363,8.2,1708.9977,8.9,291.3016,-11.1,1337.937,12.5,北京市
201408,3991.0992,7.1,2011.9068,5.9,344.343,-10.4,1634.8494,13.5,北京市
201409,4667.4595,5.8,2339.3673,3.3,438.4764,-4.4,1889.6158,12.0,北京市
201410,5240.5464,5.4,2626.1111,0.9,491.577,-4.1,2122.8583,14.5,北京市
201411,5894.8703,2.7,2914.4794,-2.0,552.4467,-7.1,2427.9442,11.9,北京市
201412,6873.4408,1.1,3368.9412,-1.4,707.2903,0.6,2797.2093,4.5,北京市
201501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201502,461.8781,-1.5,278.1735,-2.1,29.8384,-25.5,153.8662,6.3,北京市
201503,1007.9258,8.4,414.8631,-14.2,91.9156,25.4,501.1471,34.4,北京市
201504,1473.2136,1.4,600.7951,-22.1,146.4098,34.6,726.0087,27.0,北京市
201505,2057.5354,2.4,829.9449,-23.5,218.2633,15.1,1009.3272,37.5,北京市
201506,2848.3947,3.7,1165.9914,-17.6,291.3199,21.4,1391.0834,27.4,北京市
201507,3482.1456,4.3,1409.1598,-17.5,330.6718,13.5,1742.314,30.2,北京市
201508,4069.9561,2.0,1642.2268,-18.4,381.694,10.8,2046.0353,25.2,北京市
201509,4875.0655,4.4,1966.2351,-16.0,472.4961,7.8,2436.3343,28.9,北京市
201510,5668.6015,6.1,2248.7008,-14.4,558.9918,13.7,2860.9089,34.8,北京市
201511,6470.2252,9.8,2558.6826,-12.2,667.2753,20.8,3244.2673,33.6,北京市
201512,7446.0198,8.3,2903.6899,-13.8,797.5139,12.8,3744.816,33.9,北京市
201601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201602,517.0044,11.9,232.6522,-16.4,31.1318,4.3,253.2204,64.6,北京市
201603,1132.1663,12.3,405.2733,-2.3,132.1774,43.8,594.7156,18.7,北京市
201604,1645.6559,11.7,624.5311,4.0,190.3816,30.0,830.7432,14.4,北京市
201605,2200.8404,7.0,882.8465,6.4,269.1755,23.3,1048.8184,3.9,北京市
201606,3030.9338,6.4,1157.2288,-0.8,362.3592,24.4,1511.3458,8.6,北京市
201607,3638.4022,4.5,1382.5149,-1.9,426.0495,28.8,1829.8378,5.0,北京市
201608,4255.7714,4.6,1619.7986,-1.4,508.7655,33.3,2127.2073,4.0,北京市
201609,5146.6484,5.6,1972.2179,0.3,613.7761,29.9,2560.65439999999,5.1,北京市
201610,6015.331,6.1,2324.5253,3.4,661.2908,18.3,3029.5149,5.9,北京市
201611,6910.3327,6.8,2667.6141,4.3,744.4571,11.6,3498.2615,7.8,北京市
201612,7888.6881,5.9,3038.5389,4.6,855.8954,7.3,3994.2538,6.7,北京市
201701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201702,549.7991,6.3,246.2594,5.8,62.3326,100.2,241.2071,-4.7,北京市
201703,1226.068,8.3,478.403,18.0,150.4213,13.8,597.2437,0.4,北京市
201704,1773.7538,7.8,684.4523,9.6,214.2557,12.5,875.0458,5.3,北京市
201705,2352.4251,6.9,923.6408,4.6,284.8296,5.8,1143.9547,9.1,北京市
201706,3259.2107,7.5,1259.8466,8.9,442.0835,22.0,1557.2806,3.0,北京市
201707,3908.8487,7.4,1493.6219,8.0,499.3468,17.2,1915.88,4.7,北京市
201708,4567.6956,7.3,1737.192,7.2,606.3678,19.2,2224.1358,4.6,北京市
201709,5509.1442,7.0,2074.0981,5.2,752.7651,22.6,2682.281,4.7,北京市
201710,6399.7042,6.4,2374.4383,2.1,962.223,45.5,3063.0429,1.1,北京市
201711,7250.2418,4.9,2706.7139,1.5,1111.9331,49.4,3431.5948,-1.9,北京市
201712,8307.3349,5.3,3081.9677,1.4,1303.018,52.2,3922.3492,-1.8,北京市
201801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201802,0.0,7.6,0.0,3.3,0.0,23.9,0.0,7.7,北京市
201803,0.0,-7.7,0.0,-5.1,0.0,15.5,0.0,-15.6,北京市
201804,0.0,-12.8,0.0,-1.9,0.0,1.0,0.0,-24.6,北京市
201805,0.0,-7.7,0.0,0.4,0.0,-3.5,0.0,-15.4,北京市
201806,0.0,-9.6,0.0,-0.9,0.0,-12.6,0.0,-15.9,北京市
201807,0.0,-9.8,0.0,0.0,0.0,-11.8,0.0,-16.9,北京市
201808,0.0,-7.5,0.0,1.6,0.0,-14.2,0.0,-12.8,北京市
201809,0.0,-6.7,0.0,1.2,0.0,-10.9,0.0,-11.7,北京市
201810,0.0,-7.0,0.0,3.5,0.0,-22.3,0.0,-10.2,北京市
201811,0.0,-6.4,0.0,5.4,0.0,-24.4,0.0,-9.9,北京市
201812,0.0,-5.5,0.0,7.8,0.0,-21.7,0.0,-10.4,北京市
200801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,天津市
200802,208.433,32.4,126.0478,36.6,44.8362,19.8,37.549,35.5,天津市
200803,456.4807,32.5,267.5167,36.6,99.9944,35.8,88.9696,18.4,天津市
200804,700.0175,35.2,392.5726,28.9,148.6471,40.4,158.7978,48.1,天津市
200805,959.3787,36.0,540.1019,31.6,205.2463,48.8,214.0305,36.1,天津市
200806,1386.0081,38.2,776.6277,34.1,301.2347,48.7,308.1457,39.3,天津市
200807,1609.6981,38.6,921.7175,35.4,334.953,49.7,353.0276,37.6,天津市
200808,1890.1257,40.4,1077.6038,35.3,400.7551,58.0,411.7668,39.3,天津市
200809,2232.8272,41.5,1266.9608,35.4,487.3267,60.2,478.5397,41.7,天津市
200810,2546.2793,43.5,1425.8994,36.8,561.1513,58.8,559.2286,47.4,天津市
200811,2805.7755,44.2,1595.6757,40.6,603.4007,52.5,606.6991,46.0,天津市
200812,3175.1181,44.8,1847.5645,43.1,657.613,48.9,669.9406,45.7,天津市
200901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,天津市
200902,290.59,39.4,176.8,40.3,62.03,38.4,51.76,37.8,天津市
200903,660.9844,44.8,368.5749,37.8,158.0315,58.0,134.378,51.0,天津市
200904,1019.9103,45.7,570.6619,45.4,217.8455,46.6,231.4029,45.7,天津市
200905,1402.6699,46.2,791.3919,46.5,298.0106,45.2,313.2674,46.4,天津市
200906,2035.5229,46.9,1142.1357,47.1,437.3965,45.2,455.9907,48.0,天津市
200907,2343.9917,45.6,1309.9052,42.1,507.4092,51.5,526.6773,49.2,天津市
200908,2744.2245,45.2,1556.9434,44.5,586.5107,46.4,600.7704,45.9,天津市
200909,3219.6589,44.2,1842.9001,45.5,690.3321,41.7,686.4267,43.4,天津市
200910,3649.1106,43.3,2069.3923,45.1,776.0618,38.3,803.6565,43.7,天津市
200911,4009.5534,42.9,2296.1396,43.9,848.6046,40.6,864.8092,42.5,天津市
200912,4446.826,40.1,2555.5917,37.8,905.4429,38.0,985.7914,48.2,天津市
201001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,天津市
201002,389.6366,34.1,240.8626,36.2,75.2717,21.3,73.5023,42.0,天津市
201003,878.4236,32.9,493.5748,33.9,196.8064,24.5,188.0424,39.9,天津市
201004,1367.9592,34.1,800.9279,40.4,284.654,30.7,282.3773,22.0,天津市
201005,1867.2797,33.1,1113.0519,40.6,385.2638,29.3,368.964,17.8,天津市
201006,2728.0781,34.0,1591.8921,39.4,532.0959,21.7,604.0901,32.5,天津市
201007,3164.4932,33.9,1837.7854,40.3,612.246,20.7,714.4618,35.7,天津市
201008,3692.7417,34.6,2174.2099,39.6,713.9088,21.7,804.623,33.9,天津市
201009,4298.9203,33.5,2570.7021,39.5,801.5074,16.1,926.7108,35.0,天津市
201010,4842.2052,32.7,2895.9499,39.9,887.133,14.3,1059.1223,31.8,天津市
201011,5312.7456,32.5,3185.421,38.7,986.6143,16.3,1140.7103,31.9,天津市
201012,5896.4972,32.6,3505.47,37.7,1118.1006,20.7,1272.9266,30.7,天津市
201101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,天津市
201102,450.9973,24.7,293.0306,29.2,99.4596,45.2,58.5071,-12.0,天津市
201103,1054.6615,29.0,621.9456,31.9,227.4677,31.3,205.2482,18.9,天津市
201104,1730.1012,30.0,1065.0223,35.4,310.2355,16.0,354.8434,28.3,天津市
201105,2415.1243,30.3,1519.9685,36.7,423.7998,14.7,471.356,26.7,天津市
201106,3319.407,30.4,2068.1611,35.7,580.7137,23.3,670.5322,19.3,天津市
201107,3935.7852,30.3,2435.7769,36.0,726.3407,30.6,773.6676,15.0,天津市
201108,4557.2511,30.1,2928.0291,36.1,792.0477,25.2,837.1743,16.5,天津市
201109,5190.2942,30.0,3297.1884,35.2,893.1962,25.1,999.9096,15.2,天津市
201110,5832.7725,29.7,3763.317,37.2,1008.6098,26.7,1060.8457,6.7,天津市
201111,6412.3926,29.5,4187.735,37.8,1087.503,21.5,1137.1546,5.5,天津市
201112,7040.4779,29.4,4548.7741,37.4,1207.0324,20.1,1284.6714,8.1,天津市
201201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,天津市
201202,575.536,27.6,371.1468,26.7,97.7265,-1.7,106.6627,82.3,天津市
201203,1294.9717,26.9,797.8552,28.3,233.4153,2.6,263.7012,28.5,天津市
201204,2138.7891,24.8,1354.5776,27.2,370.1299,19.3,414.0816,16.7,天津市
201205,2989.6316,24.0,1867.0039,22.8,543.0805,28.1,579.5472,23.0,天津市
201206,4118.9971,25.4,2539.3765,24.8,704.4572,21.3,875.1634,30.5,天津市
201207,4861.1845,25.3,3031.9028,24.5,802.7926,10.5,1026.4891,32.7,天津市
201208,5541.9907,24.3,3575.1139,22.1,809.5326,2.2,1157.3442,38.2,天津市
201209,6306.4122,24.4,4023.7459,22.0,940.1571,5.3,1342.5092,34.3,天津市
201210,7000.2177,24.0,4496.2301,19.5,1059.1375,5.0,1444.8501,36.2,天津市
201211,7456.0627,21.0,4874.1581,16.4,1102.552,1.4,1479.3526,30.1,天津市
201212,7913.2603,18.5,5273.9038,19.3,1100.7296,-10.7,1538.6269,10.8,天津市
201301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,天津市
201302,684.2052,18.9,482.6284,30.0,107.2206,9.7,94.3562,-11.5,天津市
201303,1510.6075,20.0,994.8867,24.7,263.1007,12.7,252.6201,-4.2,天津市
201304,2524.0971,19.9,1668.5299,23.2,445.4848,20.4,410.0824,-1.0,天津市
201305,3506.4349,19.9,2267.5393,21.5,650.2268,19.7,588.6688,1.6,天津市
201306,4805.936,19.3,3100.6597,22.1,835.1751,18.6,870.1012,-0.6,天津市
201307,5659.1854,19.4,3688.3572,21.7,926.9924,15.5,1043.8358,1.7,天津市
201308,6452.554,19.5,4195.2661,17.3,1101.933,36.1,1155.3549,-0.2,天津市
201309,7337.7137,19.3,4801.0631,19.3,1226.4973,30.5,1310.1533,-2.4,天津市
201310,8059.4644,18.0,5300.7267,17.9,1404.4278,32.6,1354.3099,-6.3,天津市
201311,8665.2415,16.2,5863.8011,20.3,1505.1444,36.5,1296.296,-12.4,天津市
201312,9103.0109,15.0,6323.166,20.0,1281.2354,16.1,1498.6095,-2.6,天津市
201401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,天津市
201402,793.9468,17.5,586.8291,21.6,141.5886,32.1,65.5291,-30.6,天津市
201403,1771.6837,17.3,1197.9278,20.4,231.7613,-11.9,341.9946,35.4,天津市
201404,2965.7882,17.5,1967.2764,17.9,484.2212,8.7,514.2906,25.4,天津市
201405,4117.0243,17.4,2546.7655,12.3,761.6166,17.1,808.6422,37.4,天津市
201406,5643.4829,17.4,3574.0651,15.3,980.8975,17.4,1088.5203,25.1,天津市
201407,6632.9878,17.2,4175.7428,13.2,1281.9742,38.3,1175.2708,12.6,天津市
201408,7530.163,16.7,4800.2539,14.4,1451.0966,31.7,1278.8125,10.7,天津市
201409,8550.0784,16.5,5513.5978,14.8,1567.2415,27.8,1469.2391,12.1,天津市
201410,9343.1033,15.9,5891.8999,11.2,1864.8204,32.8,1586.383,17.1,天津市
201411,10020.8523,15.6,6254.0622,6.7,2044.1279,35.8,1722.6622,32.9,天津市
201412,10490.3656,15.2,7018.3682,11.0,1832.145,43.0,1639.8524,9.4,天津市
201501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,天津市
201502,901.5392,13.6,629.1827,7.2,167.9957,18.7,104.3608,59.3,天津市
201503,2012.6209,13.6,1378.9235,15.1,329.3145,42.1,304.3829,-11.0,天津市
201504,3361.113,13.3,2213.4304,12.5,632.686,30.7,514.9966,0.1,天津市
201505,4661.2265,13.2,3147.4255,23.6,842.4817,10.6,671.3193,-17.0,天津市
201506,6388.0589,13.2,4274.2413,19.6,1274.3025,29.9,839.5151,-22.9,天津市
201507,7518.9934,13.4,4960.6177,18.8,1566.2222,22.2,992.1535,-15.6,天津市
201508,8530.2705,13.3,5608.6456,16.8,1763.8412,21.6,1157.7837,-9.5,天津市
201509,9687.0701,13.3,6221.7432,12.8,1961.5346,25.2,1503.7923,2.4,天津市
201510,10557.9636,13.0,6919.7819,17.4,1972.13,5.8,1666.0517,5.0,天津市
201511,11300.5509,12.8,7091.3089,13.4,2446.3935,19.7,1762.8485,2.3,天津市
201512,11814.5712,12.6,7936.9426,13.1,2176.4898,18.8,1701.1388,3.7,天津市
201601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,天津市
201602,1024.5017,13.6,569.0835,-9.6,327.3556,94.9,128.0626,22.7,天津市
201603,2290.7158,13.8,1403.0373,1.7,511.603,55.4,376.0755,23.6,天津市
201604,3615.4613,7.6,2236.5868,1.0,801.2893,26.6,577.5852,12.2,天津市
201605,5151.28,10.5,3243.7863,3.1,1102.969,30.9,804.5247,19.8,天津市
201606,7074.1401,10.7,4408.9418,3.2,1465.6068,15.0,1199.5915,42.9,天津市
201607,8096.7595,7.7,4832.3933,-2.6,1873.4067,19.6,1390.9595,40.2,天津市
201608,9224.0299,8.1,5723.6039,2.0,1974.1695,11.9,1526.2565,31.8,天津市
201609,10489.9254,8.3,6759.4771,8.6,2179.1772,11.1,1551.2711,3.2,天津市
201610,11442.1392,8.4,7063.9017,2.1,2523.0749,27.9,1855.1626,11.4,天津市
201611,12225.1274,8.2,7596.9881,7.1,2653.4758,8.5,1974.6635,12.0,天津市
201612,12756.3593,8.0,8563.5181,7.9,2580.8853,18.6,1611.9559,-5.2,天津市
201701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,天津市
201702,1117.9599,9.1,713.8231,25.4,263.8752,-19.4,140.2616,9.5,天津市
201703,2520.5658,10.0,1604.4219,14.4,575.6037,12.5,340.5402,-9.4,天津市
201704,3722.7378,3.0,2340.9249,4.7,889.5313,11.0,492.2816,-14.8,天津市
201705,5161.1323,0.2,3284.3836,1.3,1219.2467,10.5,657.502,-18.3,天津市
201706,7329.8941,3.6,4602.2299,4.4,1718.4317,17.3,1009.2325,-15.9,天津市
201707,8302.3836,2.5,5189.5617,7.4,1924.1308,2.7,1188.6911,-14.5,天津市
201708,9330.0085,1.1,5788.0235,1.1,2138.381,8.3,1403.604,-8.0,天津市
201709,10458.8133,-0.3,6478.4121,-4.2,2368.3452,8.7,1612.056,3.9,天津市
201710,10803.5944,-5.6,6674.5342,-5.5,2428.2809,-3.8,1700.7793,-8.3,天津市
201711,10978.7673,-1.4,6731.4687,-5.2,2479.6714,25.8,1767.6272,-14.5,天津市
201712,11274.6948,0.5,6853.2867,-6.3,2543.4508,25.5,1877.9573,-0.4,天津市
201801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,天津市
201802,0.0,-50.0,0.0,-57.0,0.0,-78.8,0.0,3.5,天津市
201803,0.0,-25.6,0.0,-55.5,0.0,10.0,0.0,45.3,天津市
201804,0.0,-21.6,0.0,-55.9,0.0,6.7,0.0,60.5,天津市
201805,0.0,-13.2,0.0,-51.7,0.0,27.5,0.0,74.4,天津市
201806,0.0,-17.3,0.0,-50.3,0.0,4.9,0.0,49.8,天津市
201807,0.0,-16.4,0.0,-46.2,0.0,4.8,0.0,39.7,天津市
201808,0.0,-15.6,0.0,-42.9,0.0,5.1,0.0,33.3,天津市
201809,0.0,-14.2,0.0,-41.6,0.0,4.8,0.0,35.5,天津市
201810,0.0,-9.4,0.0,-37.1,0.0,14.0,0.0,39.0,天津市
201811,0.0,-6.6,0.0,-33.6,0.0,17.7,0.0,40.4,天津市
201812,0.0,-5.6,0.0,-29.4,0.0,11.1,0.0,36.4,天津市
200801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,河北省
200802,160.6229,34.7,82.635,21.8,51.9651,46.2,26.0228,64.1,河北省
200803,884.5144,34.0,515.4919,40.1,237.821,26.5,131.2015,25.9,河北省
200804,1389.101,33.1,827.0399,38.6,361.1338,24.5,200.9273,27.8,河北省
200805,1998.8884,29.0,1190.9976,33.0,516.3382,22.2,291.5526,26.1,河北省
200806,3197.2406,34.9,1884.3754,36.2,867.6032,35.9,445.262,27.6,河北省
200807,3785.5035,33.8,2252.5934,35.7,1024.7937,34.8,508.1164,24.1,河北省
200808,4390.3471,33.8,2611.546,33.6,1195.9585,37.9,582.8426,27.3,河北省
200809,5209.8419,32.8,3058.1307,30.6,1470.0661,40.2,681.6451,27.5,河北省
200810,5894.1751,31.3,3460.3848,28.9,1666.7735,40.0,767.0168,24.9,河北省
200811,6712.9869,31.4,3920.8666,27.9,1900.4882,41.4,891.6321,27.2,河北省
200812,7465.1271,31.2,4355.4895,27.7,2105.3583,40.0,1004.2793,29.2,河北省
200901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,河北省
200902,255.54,59.1,150.42,82.0,72.94,40.4,32.18,23.7,河北省
200903,1250.5201,41.4,743.1072,44.2,312.4524,31.4,194.9605,48.6,河北省
200904,2081.2955,49.8,1241.464,50.1,525.7263,45.6,314.1052,56.3,河北省
200905,3125.6637,56.4,1869.6257,57.0,794.8104,53.9,461.2276,58.2,河北省
200906,4938.2197,54.5,2982.3747,58.3,1241.3601,43.1,714.4849,60.5,河北省
200907,5751.8058,51.9,3518.3429,56.2,1436.6856,40.2,796.7773,56.8,河北省
200908,6582.029,49.9,3985.5893,52.6,1693.3449,41.6,903.0948,54.9,河北省
200909,7931.7987,52.2,4800.7489,57.0,2052.7465,39.6,1078.3033,58.2,河北省
200910,8953.5514,51.9,5421.7759,56.7,2305.4598,38.3,1226.3157,59.9,河北省
200911,9767.5095,45.5,5944.735,51.6,2487.0038,30.9,1335.7707,49.8,河北省
200912,10472.2484,40.3,6500.045,49.7,2572.0612,22.0,1400.1422,38.3,河北省
201001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,河北省
201002,352.5121,37.9,226.0982,50.3,82.0567,12.5,44.3572,37.8,河北省
201003,1681.9115,34.5,1034.9785,39.3,405.0316,29.6,241.9014,24.1,河北省
201004,2704.5999,29.9,1678.3379,35.2,617.5879,17.5,408.6741,30.1,河北省
201005,4004.6048,28.1,2500.1657,33.7,896.5448,12.8,607.8943,31.8,河北省
201006,6279.9303,27.2,3886.8034,30.3,1425.3674,14.8,967.7595,35.4,河北省
201007,7250.8025,26.1,4562.4171,29.7,1628.9391,13.4,1059.4463,33.0,河北省
201008,8175.6721,24.2,5181.8773,30.0,1795.0187,6.0,1198.7761,32.7,河北省
201009,9769.4398,23.2,6236.9723,29.9,2148.6428,4.7,1383.8247,28.3,河北省
201010,11022.8507,23.1,7047.704,30.0,2420.9976,5.0,1554.1491,26.7,河北省
201011,12046.6452,23.3,7693.8901,29.4,2639.7348,6.1,1713.0203,28.2,河北省
201012,12921.8472,23.3,8304.9649,28.0,2789.2011,7.7,1827.6812,30.6,河北省
201101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,河北省
201102,396.5782,27.8,275.874,38.7,85.8265,19.8,34.8777,-12.4,河北省
201103,1774.732,26.7,1188.7224,37.5,380.1026,16.2,205.907,-1.4,河北省
201104,3102.1712,26.1,2076.7511,36.4,652.9553,17.4,372.4648,-2.2,河北省
201105,4681.4454,27.1,3077.2639,34.3,998.3277,20.7,605.8538,7.5,河北省
201106,6491.7243,27.0,4216.4999,32.6,1406.7071,24.0,868.5173,9.1,河北省
201107,8172.6076,26.8,5323.6611,31.4,1786.0597,23.2,1062.8868,12.5,河北省
201108,9846.0807,26.6,6433.6411,31.2,2171.0856,24.9,1241.354,9.3,河北省
201109,11500.0625,25.4,7476.9874,28.5,2589.9724,26.5,1433.1027,10.1,河北省
201110,13198.992,25.6,8538.2324,28.0,3024.0615,28.5,1636.6981,10.3,河北省
