月份,施工项目项目个数_累计值,施工项目项目个数_累计增减额,新开工项目项目个数_累计值,新开工项目项目个数_累计增减额,地区
201006,12399,1691,6720,918,广东省
201007,12535,847,6798,57,广东省
201008,13230,348,7433,-456,广东省
201009,14188,-214,8065,-1230,广东省
201010,15284,-555,8975,-1514,广东省
201011,16189,-1089,9083,-2814,广东省
201012,21433,1443,14293,39,广东省
201101,0,0,0,0,广东省
201102,6738,581,1120,45,广东省
201103,8604,28,1968,-393,广东省
201104,10788,575,3754,113,广东省
201105,12678,715,5332,233,广东省
201106,15042,1058,7387,499,广东省
201107,16280,1651,8459,1028,广东省
201108,17778,2465,9786,1702,广东省
201109,19407,2866,11273,2157,广东省
201110,20753,3372,12513,2712,广东省
201111,22246,2958,13876,2334,广东省
201112,24355,2744,15668,1965,广东省
201201,0,0,0,0,广东省
201202,6285,-453,1039,-81,广东省
201203,8919,315,2634,666,广东省
201204,10509,-279,3806,52,广东省
201205,12323,-355,5334,2,广东省
201206,15015,-27,7636,249,广东省
201207,16469,189,8899,440,广东省
201208,18604,826,10878,1092,广东省
201209,21011,1604,13068,1795,广东省
201210,22863,2110,14809,2296,广东省
201211,24684,2438,16525,2649,广东省
201212,27439,3058,18940,3273,广东省
201301,0,0,0,0,广东省
201302,7592,1307,1126,87,广东省
201303,10930,2011,3335,701,广东省
201304,13124,2615,5012,1206,广东省
201305,15555,3232,7036,1702,广东省
201306,18368,3353,9447,1811,广东省
201307,20012,3543,10913,2014,广东省
201308,21867,3263,12606,1728,广东省
201309,24197,3186,14754,1686,广东省
201310,26465,3602,16899,2090,广东省
201311,28361,3677,18779,2254,广东省
201312,31006,12848,21182,9802,广东省
201401,0,0,0,0,广东省
201402,8173,581,1353,227,广东省
201403,11917,987,3471,136,广东省
201404,14033,909,5005,-7,广东省
201405,16364,809,6934,-102,广东省
201406,19738,1370,9850,403,广东省
201407,20952,940,10883,-30,广东省
201408,23539,1672,13227,621,广东省
201409,25873,1676,15392,638,广东省
201410,28400,1935,17819,920,广东省
201411,30667,2306,19965,1186,广东省
201412,0,0,0,0,广东省
201501,0,0,0,0,广东省
201502,7631,-542,1409,56,广东省
201503,11742,-175,4068,597,广东省
201504,14553,520,6279,1274,广东省
201505,17454,1090,8798,1864,广东省
201506,19900,162,10889,1039,广东省
201507,22128,1176,12922,2039,广东省
201508,25031,1492,15580,2353,广东省
201509,29537,3664,19865,4473,广东省
201510,32159,3759,22304,4485,广东省
201511,35220,4553,25163,5198,广东省
201512,38666,5324,28293,5952,广东省
201601,0,0,0,0,广东省
201602,9464,1833,2202,793,广东省
201603,14536,2794,5577,1509,广东省
201604,17620,3067,7941,1662,广东省
201605,20731,3277,10548,1750,广东省
201606,23647,3747,12987,2098,广东省
201607,27195,5067,16112,3190,广东省
201608,30215,5184,18824,3244,广东省
201609,33888,4351,22124,2259,广东省
201610,36664,4505,24646,2342,广东省
201611,40522,5302,28288,3125,广东省
201612,44599,5933,32056,3763,广东省
201701,0,0,0,0,广东省
201702,11797,2333,2118,-84,广东省
201703,16473,1937,4865,-712,广东省
201704,19853,2233,7442,-499,广东省
201705,23119,2388,9994,-554,广东省
201706,28155,4508,14226,1239,广东省
201707,31659,4464,17154,1042,广东省
201708,35348,5133,20207,1383,广东省
201709,39555,5667,24052,1928,广东省
201710,43325,6661,27337,2691,广东省
201711,47408,6886,31043,2755,广东省
201712,51037,6438,34335,2279,广东省
201801,0,0,0,0,广东省
201802,0,0,0,0,广东省
201803,0,0,0,0,广东省
201804,0,0,0,0,广东省
201805,0,0,0,0,广东省
201806,0,0,0,0,广东省
201807,0,0,0,0,广东省
201808,0,0,0,0,广东省
201809,0,0,0,0,广东省
201810,0,0,0,0,广东省
201811,0,0,0,0,广东省
201812,0,0,0,0,广东省
200801,0,0,0,0,广西壮族自治区
200802,3844,661,590,159,广西壮族自治区
200803,5970,989,1937,629,广西壮族自治区
200804,7055,1012,2792,727,广西壮族自治区
200805,8274,1284,3861,971,广西壮族自治区
200806,10113,1415,5465,1047,广西壮族自治区
200807,10841,1322,6124,1002,广西壮族自治区
200808,11643,1408,6866,1083,广西壮族自治区
200809,12736,1100,7884,759,广西壮族自治区
200810,13849,1251,8900,861,广西壮族自治区
200811,15479,1236,10391,817,广西壮族自治区
200812,17185,1240,11974,791,广西壮族自治区
200901,0,0,0,0,广西壮族自治区
200902,4705,861,831,241,广西壮族自治区
200903,7567,1597,2948,1011,广西壮族自治区
200904,9818,2763,4850,2058,广西壮族自治区
200905,11823,3549,6686,2825,广西壮族自治区
200906,15727,5614,10255,4790,广西壮族自治区
200907,16550,5709,11062,4938,广西壮族自治区
200908,18392,6749,12836,5970,广西壮族自治区
200909,19605,6869,14037,6153,广西壮族自治区
200910,21262,7413,15650,6750,广西壮族自治区
200911,23027,7548,17409,7018,广西壮族自治区
200912,23541,6356,17922,5948,广西壮族自治区
201001,0,0,0,0,广西壮族自治区
201002,4458,-247,1060,229,广西壮族自治区
201003,8114,547,3453,505,广西壮族自治区
201004,10450,632,5402,552,广西壮族自治区
201005,13355,1532,8053,1367,广西壮族自治区
201006,17215,1488,11583,1328,广西壮族自治区
201007,18345,1795,12713,1651,广西壮族自治区
201008,20138,1746,14500,1664,广西壮族自治区
201009,21123,1518,15485,1448,广西壮族自治区
201010,23046,1784,17233,1583,广西壮族自治区
201011,24014,987,18090,681,广西壮族自治区
201012,25478,1927,19421,1157,广西壮族自治区
201101,0,0,0,0,广西壮族自治区
201102,3687,130,420,-214,广西壮族自治区
201103,6327,129,1776,-553,广西壮族自治区
201104,8206,407,3279,-307,广西壮族自治区
201105,9916,375,4677,-404,广西壮族自治区
201106,12140,47,6644,-703,广西壮族自治区
201107,12488,-320,6957,-1023,广西壮族自治区
201108,13494,-175,7910,-919,广西壮族自治区
201109,13711,-510,8069,-1310,广西壮族自治区
201110,15786,574,10064,-259,广西壮族自治区
201111,18025,1648,12284,1013,广西壮族自治区
201112,19569,3650,13719,2611,广西壮族自治区
201201,0,0,0,0,广西壮族自治区
201202,4749,1062,1271,851,广西壮族自治区
201203,8712,2385,4154,2378,广西壮族自治区
201204,10359,2153,5707,2428,广西壮族自治区
201205,13094,3178,8208,3531,广西壮族自治区
201206,13100,960,8210,1566,广西壮族自治区
201207,13605,1117,8526,1569,广西壮族自治区
201208,14201,707,10273,2363,广西壮族自治区
201209,14396,685,10373,2304,广西壮族自治区
201210,16318,532,12158,2094,广西壮族自治区
201211,18568,543,14328,2044,广西壮族自治区
201212,19769,200,15455,1736,广西壮族自治区
201301,0,0,0,0,广西壮族自治区
201302,6508,1759,1802,531,广西壮族自治区
201303,12031,3319,5463,1309,广西壮族自治区
201304,15073,4714,7952,2245,广西壮族自治区
201305,18280,5186,10849,2641,广西壮族自治区
201306,23473,10373,15645,7435,广西壮族自治区
201307,24352,10747,16426,7900,广西壮族自治区
201308,25758,11557,17787,7514,广西壮族自治区
201309,27263,12867,19235,8862,广西壮族自治区
201310,29809,13491,21751,9593,广西壮族自治区
201311,32440,13872,24272,9944,广西壮族自治区
201312,34039,14086,25751,10287,广西壮族自治区
201401,0,0,0,0,广西壮族自治区
201402,7905,1397,2070,268,广西壮族自治区
201403,14000,1969,6312,849,广西壮族自治区
201404,16508,1435,8464,512,广西壮族自治区
201405,19777,1497,11496,647,广西壮族自治区
201406,25990,2517,17391,1746,广西壮族自治区
201407,26699,2347,18096,1670,广西壮族自治区
201408,28149,2391,19535,1748,广西壮族自治区
201409,30077,2814,21406,2171,广西壮族自治区
201410,33113,3304,24348,2597,广西壮族自治区
201411,35387,2947,26548,2276,广西壮族自治区
201412,0,0,0,0,广西壮族自治区
201501,0,0,0,0,广西壮族自治区
201502,9023,1118,2451,381,广西壮族自治区
201503,15776,1776,7663,1351,广西壮族自治区
201504,18566,2058,10092,1628,广西壮族自治区
201505,22457,2680,13770,2274,广西壮族自治区
201506,29082,3092,20066,2675,广西壮族自治区
201507,30124,3425,21091,2995,广西壮族自治区
201508,32303,4154,23234,3699,广西壮族自治区
201509,34902,4825,25787,4381,广西壮族自治区
201510,37699,4586,28639,4291,广西壮族自治区
201511,40591,5204,31494,4946,广西壮族自治区
201512,42918,5303,33807,5158,广西壮族自治区
201601,0,0,0,0,广西壮族自治区
201602,10250,1227,3626,1175,广西壮族自治区
201603,18733,2957,10254,2591,广西壮族自治区
201604,21102,2536,12603,2511,广西壮族自治区
201605,25217,2760,16544,2774,广西壮族自治区
201606,33198,4116,24237,4171,广西壮族自治区
201607,33677,3553,24906,3815,广西壮族自治区
201608,36007,3704,27167,3933,广西壮族自治区
201609,42979,8077,34130,8343,广西壮族自治区
201610,43339,5640,34406,5767,广西壮族自治区
201611,44597,4006,35505,4011,广西壮族自治区
201612,46742,3824,37521,3714,广西壮族自治区
201701,0,0,0,0,广西壮族自治区
201702,5001,-5249,138,-3488,广西壮族自治区
201703,12654,-6079,4502,-5752,广西壮族自治区
201704,19401,-1701,9222,-3381,广西壮族自治区
201705,25914,697,15031,-1513,广西壮族自治区
201706,33578,380,22348,-1889,广西壮族自治区
201707,35573,1896,24334,-572,广西壮族自治区
201708,37404,1397,26165,-1002,广西壮族自治区
201709,40137,-2842,28686,-5444,广西壮族自治区
201710,43279,-60,31816,-2590,广西壮族自治区
201711,46399,1802,34802,-703,广西壮族自治区
201712,48298,1556,36695,-826,广西壮族自治区
201801,0,0,0,0,广西壮族自治区
201802,0,0,0,0,广西壮族自治区
201803,0,0,0,0,广西壮族自治区
201804,0,0,0,0,广西壮族自治区
201805,0,0,0,0,广西壮族自治区
201806,0,0,0,0,广西壮族自治区
201807,0,0,0,0,广西壮族自治区
201808,0,0,0,0,广西壮族自治区
201809,0,0,0,0,广西壮族自治区
201810,0,0,0,0,广西壮族自治区
201811,0,0,0,0,广西壮族自治区
201812,0,0,0,0,广西壮族自治区
200801,0,0,0,0,海南省
200802,324,38,40,-21,海南省
200803,477,49,105,-46,海南省
200804,514,40,130,-59,海南省
200805,575,22,184,-64,海南省
200806,698,29,282,-72,海南省
200807,754,33,338,-68,海南省
200808,804,40,384,-61,海南省
200809,844,-7,423,-107,海南省
200810,900,-38,478,-136,海南省
200811,1008,-47,583,-137,海南省
200812,1235,-172,807,-251,海南省
200901,0,0,0,0,海南省
200902,436,112,122,82,海南省
200903,672,195,189,84,海南省
200904,742,228,240,110,海南省
200905,827,252,313,129,海南省
200906,916,218,391,109,海南省
200907,977,223,442,104,海南省
200908,1115,311,576,192,海南省
200909,1205,361,634,211,海南省
200910,1291,391,716,238,海南省
200911,1398,390,802,219,海南省
200912,1725,241,1117,60,海南省
201001,0,0,0,0,海南省
201002,304,-132,80,-42,海南省
201003,568,-104,175,-14,海南省
201004,889,147,340,100,海南省
201005,954,127,394,81,海南省
201006,1122,206,554,163,海南省
201007,1212,235,631,189,海南省
201008,1257,142,673,97,海南省
201009,1307,102,719,85,海南省
201010,1381,90,790,74,海南省
201011,1473,75,880,78,海南省
201012,1564,-161,923,-194,海南省
201101,0,0,0,0,海南省
201102,562,97,37,-9,海南省
201103,653,90,70,-7,海南省
201104,728,102,143,25,海南省
201105,795,134,207,62,海南省
201106,888,141,268,46,海南省
201107,957,168,323,67,海南省
201108,1024,186,382,82,海南省
201109,1074,189,431,88,海南省
201110,1173,223,527,124,海南省
201111,1250,215,604,119,海南省
201112,1345,-26,699,-49,海南省
201201,0,0,0,0,海南省
201202,569,7,17,-20,海南省
201203,748,95,113,43,海南省
201204,904,176,204,61,海南省
201205,1043,248,298,91,海南省
201206,1205,317,438,170,海南省
201207,1271,314,487,164,海南省
201208,1345,321,558,176,海南省
201209,1431,357,637,206,海南省
201210,1508,335,707,180,海南省
201211,1613,363,804,200,海南省
201212,1694,349,876,177,海南省
201301,0,0,0,0,海南省
201302,696,127,31,14,海南省
201303,959,211,166,53,海南省
201304,1086,182,263,59,海南省
201305,1221,178,385,87,海南省
201306,1371,166,519,81,海南省
201307,1460,189,603,116,海南省
201308,1537,192,668,110,海南省
201309,1616,185,738,101,海南省
201310,1706,198,823,116,海南省
201311,1812,199,926,122,海南省
201312,1858,184,964,98,海南省
201401,0,0,0,0,海南省
201402,777,81,46,15,海南省
201403,978,19,113,-53,海南省
201404,1157,71,243,-20,海南省
201405,1262,41,313,-72,海南省
201406,1390,19,411,-108,海南省
201407,1455,-5,457,-146,海南省
201408,1516,-21,515,-153,海南省
201409,1600,-16,592,-146,海南省
201410,1696,-10,678,-145,海南省
201411,1841,29,815,-111,海南省
201412,0,0,0,0,海南省
201501,0,0,0,0,海南省
201502,684,-93,22,-24,海南省
201503,824,-154,74,-39,海南省
201504,996,-161,184,-59,海南省
201505,1147,-115,310,-3,海南省
201506,1292,-98,428,17,海南省
201507,1366,-89,486,29,海南省
201508,1523,7,590,75,海南省
201509,1655,55,709,117,海南省
201510,1777,81,822,144,海南省
201511,1948,107,979,164,海南省
201512,2016,107,1033,85,海南省
201601,0,0,0,0,海南省
201602,861,177,58,36,海南省
201603,1076,252,132,58,海南省
201604,1234,238,206,22,海南省
201605,1401,254,316,6,海南省
201606,1551,259,424,-4,海南省
201607,1688,322,537,51,海南省
201608,1810,287,645,55,海南省
201609,1913,258,758,49,海南省
201610,2038,261,864,42,海南省
201611,2193,245,1008,29,海南省
201612,2400,384,1195,162,海南省
201701,0,0,0,0,海南省
201702,1009,148,32,-26,海南省
201703,1219,143,108,-24,海南省
201704,1353,119,174,-32,海南省
201705,1500,99,265,-51,海南省
201706,1658,107,371,-53,海南省
201707,1814,126,450,-87,海南省
201708,1973,163,581,-64,海南省
201709,2231,318,797,39,海南省
201710,2358,320,906,42,海南省
201711,2483,290,1001,-7,海南省
201712,2676,276,1138,-57,海南省
201801,0,0,0,0,海南省
201802,0,0,0,0,海南省
201803,0,0,0,0,海南省
201804,0,0,0,0,海南省
201805,0,0,0,0,海南省
201806,0,0,0,0,海南省
201807,0,0,0,0,海南省
201808,0,0,0,0,海南省
201809,0,0,0,0,海南省
201810,0,0,0,0,海南省
201811,0,0,0,0,海南省
201812,0,0,0,0,海南省
200801,0,0,0,0,重庆市
200802,2187,384,287,129,重庆市
200803,2854,579,633,221,重庆市
200804,3397,808,941,293,重庆市
200805,3838,980,1320,452,重庆市
200806,4614,1097,1908,462,重庆市
200807,5090,1305,2335,637,重庆市
200808,5461,1366,2663,675,重庆市
200809,9413,4722,5948,3393,重庆市
200810,6658,1684,3457,634,重庆市
200811,7086,1775,3873,728,重庆市
200812,7743,1461,4474,671,重庆市
200901,0,0,0,0,重庆市
200902,2638,451,453,166,重庆市
200903,3791,937,1039,406,重庆市
200904,4324,927,1571,630,重庆市
200905,5005,1167,2072,752,重庆市
200906,5715,1101,2708,800,重庆市
200907,6320,1230,3251,916,重庆市
200908,6838,1377,3735,1072,重庆市
200909,7423,-1990,4279,-1669,重庆市
200910,7840,1182,4661,1204,重庆市
200911,9616,2530,6401,2528,重庆市
200912,10891,3387,7479,3007,重庆市
201001,0,0,0,0,重庆市
201002,2719,81,397,-56,重庆市
201003,3833,42,1166,127,重庆市
201004,4510,186,1717,146,重庆市
201005,5087,82,2243,171,重庆市
201006,6001,286,3153,445,重庆市
201007,7193,873,4315,1064,重庆市
201008,9685,2847,5894,2159,重庆市
201009,9700,2277,5904,1625,重庆市
201010,9720,1880,5924,1263,重庆市
201011,9737,121,5941,-460,重庆市
201012,9885,-1006,6061,-1418,重庆市
201101,0,0,0,0,重庆市
201102,3455,-9315,540,-64,重庆市
201103,5034,530,1750,403,重庆市
201104,5971,-22193,2576,677,重庆市
201105,6870,26,3401,950,重庆市
201106,7729,-697,4202,1129,重庆市
201107,8457,-1199,4882,1240,重庆市
201108,9160,-1593,5565,1299,重庆市
201109,9823,-2180,6197,1399,重庆市
201110,10804,-2573,6967,1702,重庆市
201111,11493,-3417,7600,1687,重庆市
201112,12323,-84055,8280,1596,重庆市
201201,0,0,0,0,重庆市
201202,3925,470,834,294,重庆市
201203,5337,303,1878,128,重庆市
201204,6182,211,2573,-3,重庆市
201205,7505,635,3764,363,重庆市
201206,8720,991,4909,707,重庆市
201207,9392,935,5545,663,重庆市
201208,10140,980,6259,694,重庆市
201209,11085,1262,7163,966,重庆市
201210,12194,1390,8252,1285,重庆市
201211,13360,1867,9394,1794,重庆市
201212,13814,2820,9829,2221,重庆市
201301,0,0,0,0,重庆市
201302,4329,404,1165,331,重庆市
201303,6383,1046,2785,907,重庆市
201304,7701,1519,4000,1427,重庆市
201305,9089,1584,5314,1550,重庆市
201306,10512,1792,6681,1772,重庆市
201307,11394,2002,7522,1977,重庆市
201308,12356,2216,8459,2200,重庆市
201309,13746,2661,9818,2655,重庆市
201310,14627,2433,10655,2403,重庆市
201311,15740,2380,11695,2301,重庆市
201312,16585,7010,12471,6207,重庆市
201401,0,0,0,0,重庆市
201402,5003,674,1184,19,重庆市
201403,6862,479,2734,-51,重庆市
201404,8301,600,4050,50,重庆市
201405,9011,-78,4579,-735,重庆市
201406,9179,-1333,4643,-2038,重庆市
201407,9704,-1690,4919,-2603,重庆市
201408,14192,1836,5495,-2964,重庆市
201409,15794,2048,6279,-3539,重庆市
201410,17022,2395,7367,-3288,重庆市
201411,18326,2586,8621,-3074,重庆市
201412,0,0,0,0,重庆市
201501,0,0,0,0,重庆市
201502,4440,-563,688,-496,重庆市
201503,5432,-1430,1680,-1054,重庆市
201504,6275,-2026,2523,-1527,重庆市
201505,7105,-1906,3350,-1229,重庆市
201506,8008,-1171,4253,-390,重庆市
201507,8684,-1020,4929,10,重庆市
201508,11464,-2728,7552,2057,重庆市
201509,12464,-3330,8548,2269,重庆市
201510,13604,-3418,9608,2241,重庆市
201511,14848,-3478,10748,2127,重庆市
201512,15158,2415,11016,1914,重庆市
201601,0,0,0,0,重庆市
201602,5314,874,756,68,重庆市
201603,5943,511,1385,-295,重庆市
201604,7820,1545,3206,683,重庆市
201605,9655,2550,5518,2168,重庆市
201606,9898,1890,5761,1508,重庆市
201607,11041,2357,6904,1975,重庆市
201608,14085,2621,9494,1942,重庆市
201609,14857,2393,10215,1667,重庆市
201610,16186,2582,11461,1853,重庆市
201611,18223,3375,13330,2582,重庆市
201612,18602,3444,13568,2452,重庆市
201701,0,0,0,0,重庆市
201702,10148,4834,1259,503,重庆市
201703,11839,5896,2760,1375,重庆市
201704,13909,6089,4262,1056,重庆市
201705,15542,5887,5801,283,重庆市
201706,16816,6918,7088,1327,重庆市
201707,18243,7202,8457,1553,重庆市
201708,19819,5734,9861,367,重庆市
201709,21186,6329,11171,956,重庆市
201710,22370,6184,12318,857,重庆市
201711,24270,6047,14162,832,重庆市
201712,25872,7270,15720,2152,重庆市
201801,0,0,0,0,重庆市
201802,0,0,0,0,重庆市
201803,0,0,0,0,重庆市
201804,0,0,0,0,重庆市
201805,0,0,0,0,重庆市
201806,0,0,0,0,重庆市
201807,0,0,0,0,重庆市
201808,0,0,0,0,重庆市
201809,0,0,0,0,重庆市
201810,0,0,0,0,重庆市
201811,0,0,0,0,重庆市
201812,0,0,0,0,重庆市
200801,0,0,0,0,四川省
200802,4484,76,1027,146,四川省
200803,7212,462,2659,201,四川省
200804,8945,727,3940,385,四川省
200805,10129,268,4939,26,四川省
200806,12030,265,6648,28,四川省
200807,12871,239,7353,-84,四川省
200808,13610,228,8030,-157,四川省
200809,14365,-58,8727,-451,四川省
200810,15368,-148,9669,-557,四川省
200811,16336,99,10449,-462,四川省
200812,17267,696,11284,63,四川省
200901,0,0,0,0,四川省
200902,5963,1479,1662,635,四川省
200903,9918,2706,4807,2148,四川省
200904,12757,3812,6975,3035,四川省
200905,14669,4540,8562,3623,四川省
200906,17390,5360,11027,4379,四川省
200907,19433,6562,12890,5537,四川省
200908,20539,6929,13992,5962,四川省
200909,22988,8623,15906,7179,四川省
200910,24940,9572,17715,8046,四川省
200911,26148,9812,18919,8470,四川省
200912,26997,9689,19678,8374,四川省
201001,0,0,0,0,四川省
201002,9275,3312,2098,436,四川省
201003,15414,5496,6637,1830,四川省
201004,16802,4045,7312,337,四川省
201005,19268,4599,9370,808,四川省
201006,22191,4801,12044,1017,四川省
201007,23629,4196,13336,446,四川省
201008,24860,4321,14532,540,四川省
201009,25261,2273,14931,-975,四川省
201010,25735,795,15404,-2311,四川省
201011,26701,553,16287,-2632,四川省
201012,27599,1105,17074,-2569,四川省
201101,0,0,0,0,四川省
201102,6070,-1638,335,-1537,四川省
201103,8343,-4217,1760,-4113,四川省
201104,9545,-3746,2636,-3560,四川省
201105,11257,-3684,4116,-3352,四川省
201106,13877,-3392,6594,-3032,四川省
201107,15072,-3279,7742,-2876,四川省
201108,16541,-2997,9170,-2574,四川省
201109,18141,-2066,10653,-1704,四川省
201110,19805,-996,12247,-701,四川省
201111,21612,69,14033,402,四川省
201112,23100,619,15443,932,四川省
201201,0,0,0,0,四川省
201202,8998,2928,1208,873,四川省
201203,12273,3930,3601,1841,四川省
201204,13956,4411,4915,2279,四川省
201205,15684,4427,6469,2353,四川省
201206,18141,4264,8813,2219,四川省
201207,19514,4442,10117,2375,四川省
201208,20832,4291,11378,2208,四川省
201209,22676,4535,13185,2532,四川省
201210,24630,4825,15114,2867,四川省
201211,26426,4814,16855,2822,四川省
201212,27910,4807,18287,2844,四川省
201301,0,0,0,0,四川省
201302,11384,2386,962,-246,四川省
201303,14482,2209,3145,-456,四川省
201304,16137,2181,4447,-468,四川省
201305,18196,2512,6363,-106,四川省
201306,20873,2732,8905,92,四川省
201307,22103,2589,10077,-40,四川省
201308,23435,2603,11364,-14,四川省
201309,25370,2694,13255,70,四川省
201310,27438,2808,15284,170,四川省
201311,29783,3357,17575,720,四川省
201312,31240,7881,18983,3940,四川省
201401,0,0,0,0,四川省
201402,12030,646,810,-152,四川省
201403,15285,803,2900,-245,四川省
201404,17259,1122,4491,44,四川省
201405,19355,1159,6445,82,四川省
201406,22142,1269,9138,233,四川省
201407,23743,1640,10706,629,四川省
201408,25463,2028,12395,1031,四川省
201409,27441,2071,14331,1076,四川省
201410,29459,2021,16331,1047,四川省
201411,31987,2204,18798,1223,四川省
201412,0,0,0,0,四川省
201501,0,0,0,0,四川省
201502,12559,529,826,16,四川省
201503,16060,775,3287,387,四川省
201504,17909,650,4776,285,四川省
201505,20257,902,6848,403,四川省
201506,23572,1430,10127,989,四川省
201507,25886,2143,12310,1604,四川省
201508,28004,2541,14348,1953,四川省
201509,30292,2851,16591,2260,四川省
201510,32763,3304,19003,2672,四川省
201511,35158,3171,21358,2560,四川省
201512,37392,3762,23490,3097,四川省
201601,0,0,0,0,四川省
201602,12239,-320,1003,177,四川省
201603,16865,805,4798,1511,四川省
201604,19741,1832,7173,2397,四川省
201605,23206,2949,10332,3484,四川省
201606,27502,3930,14390,4263,四川省
201607,29419,3533,16239,3929,四川省
201608,32381,4377,19093,4745,四川省
201609,35478,5186,22132,5541,四川省
201610,38892,6129,25609,6606,四川省
201611,42280,7122,29077,7719,四川省
201612,45518,8126,32274,8784,四川省
201701,0,0,0,0,四川省
201702,18859,6620,998,-5,四川省
201703,24599,7734,4807,9,四川省
201704,27292,7551,6961,-212,四川省
201705,30131,6925,9638,-694,四川省
201706,34568,7066,13919,-471,四川省
201707,36845,7426,16202,-37,四川省
201708,38688,6307,18067,-1026,四川省
201709,40815,5337,20191,-1941,四川省
201710,43313,4421,22677,-2932,四川省
201711,46519,4239,25844,-3233,四川省
201712,49515,3997,28830,-3444,四川省
201801,0,0,0,0,四川省
201802,0,0,0,0,四川省
201803,0,0,0,0,四川省
201804,0,0,0,0,四川省
201805,0,0,0,0,四川省
201806,0,0,0,0,四川省
201807,0,0,0,0,四川省
201808,0,0,0,0,四川省
201809,0,0,0,0,四川省
201810,0,0,0,0,四川省
201811,0,0,0,0,四川省
201812,0,0,0,0,四川省
200801,0,0,0,0,贵州省
200802,2066,839,327,161,贵州省
200803,3092,847,1033,272,贵州省
200804,3834,753,1617,162,贵州省
200805,4769,1098,2479,484,贵州省
200806,5477,701,3124,82,贵州省
200807,6017,296,3620,-346,贵州省
200808,6666,543,4242,-111,贵州省
200809,7279,557,4835,-93,贵州省
200810,7901,710,5435,76,贵州省
200811,8351,440,5877,-181,贵州省
200812,9100,668,6614,50,贵州省
200901,0,0,0,0,贵州省
200902,2448,382,394,67,贵州省
200903,3359,267,1144,111,贵州省
200904,4009,175,1724,107,贵州省
200905,4836,67,2483,4,贵州省
200906,6353,876,3962,838,贵州省
200907,7360,1343,4928,1308,贵州省
200908,7654,988,5297,1055,贵州省
200909,8724,1445,6296,1461,贵州省
200910,9153,1252,6724,1289,贵州省
200911,9981,1630,7520,1643,贵州省
200912,10475,1398,8003,1416,贵州省
201001,0,0,0,0,贵州省
201002,2283,-165,331,-63,贵州省
201003,3112,-247,950,-194,贵州省
201004,3470,-539,1307,-417,贵州省
201005,4106,-730,1943,-540,贵州省
201006,5307,-1046,2888,-1074,贵州省
201007,6368,-992,3810,-1118,贵州省
201008,6823,-831,4260,-1037,贵州省
201009,7224,-1500,4661,-1635,贵州省
201010,7869,-1284,5306,-1418,贵州省
201011,8923,-1058,6356,-1164,贵州省
201012,9255,-1208,6688,-1301,贵州省
201101,0,0,0,0,贵州省
201102,585,-2273,26,-392,贵州省
201103,624,-3475,49,-1243,贵州省
201104,649,-3957,59,-1691,贵州省
201105,426,-4973,85,-2458,贵州省
201106,632,-6114,183,-3631,贵州省
201107,892,-6743,303,-4139,贵州省
201108,896,-7998,307,-5394,贵州省
201109,1163,-8454,518,-5885,贵州省
201110,1371,-8995,677,-6469,贵州省
201111,1745,-9953,962,-7511,贵州省
201112,1939,-9928,1084,-7558,贵州省
201201,0,0,0,0,贵州省
201202,252,-333,22,-4,贵州省
201203,301,-323,60,11,贵州省
201204,395,-254,100,41,贵州省
201205,486,60,140,55,贵州省
201206,605,-27,227,44,贵州省
201207,702,-190,281,-22,贵州省
201208,710,-186,292,-15,贵州省
201209,828,-335,387,-131,贵州省
201210,904,-467,448,-229,贵州省
201211,1022,-723,542,-420,贵州省
201212,1586,-566,879,-589,贵州省
201301,0,0,0,0,贵州省
201302,351,99,23,1,贵州省
201303,353,52,25,-35,贵州省
201304,519,124,102,2,贵州省
201305,606,120,119,-21,贵州省
201306,761,156,227,0,贵州省
201307,851,149,273,-8,贵州省
201308,895,185,305,13,贵州省
201309,978,150,348,-39,贵州省
201310,1125,221,467,19,贵州省
201311,1305,283,579,37,贵州省
201312,2265,537,1149,190,贵州省
201401,0,0,0,0,贵州省
201402,466,115,29,6,贵州省
201403,680,327,92,67,贵州省
201404,794,275,140,38,贵州省
201405,808,202,148,29,贵州省
201406,888,127,223,-4,贵州省
201407,1016,165,291,18,贵州省
201408,1953,1058,977,672,贵州省
201409,2298,1320,1224,876,贵州省
201410,2372,1247,1282,815,贵州省
201411,2452,1147,1334,755,贵州省
201412,0,0,0,0,贵州省
201501,0,0,0,0,贵州省
201502,856,390,21,-8,贵州省
201503,989,309,93,1,贵州省
201504,1120,326,153,13,贵州省
201505,1161,353,182,34,贵州省
201506,1378,490,304,81,贵州省
201507,1631,615,427,136,贵州省
201508,1719,-234,489,-488,贵州省
201509,2057,-241,663,-561,贵州省
201510,2425,53,883,-399,贵州省
201511,2625,173,1030,-304,贵州省
201512,4355,1883,2198,1119,贵州省
201601,0,0,0,0,贵州省
201602,2276,1420,349,328,贵州省
201603,2276,1287,349,256,贵州省
201604,2471,1351,510,357,贵州省
201605,2602,1441,599,417,贵州省
201606,2735,1357,731,427,贵州省
201607,2976,1345,942,515,贵州省
201608,3042,1323,1005,516,贵州省
201609,4196,2139,2159,1496,贵州省
201610,4685,2260,2640,1757,贵州省
201611,5292,2667,3237,2207,贵州省
201612,9013,4658,6115,3917,贵州省
201701,0,0,0,0,贵州省
201702,2297,21,270,-79,贵州省
201703,2604,328,438,89,贵州省
